id,display,rank
2670,Vestergade,4095
2865,Domkirken,3075
2361,Studsgade,2994
653,Frederiksgade,2266
2138,Skolegade,1590
2739,Volden,1459
2335,Store Torv,1412
623,Fiskergade,1378
2871,Frue Kirke,1366
2410,Søndergade,1304
1594,Mejlgade,1270
1286,Klostergade,1133
1976,Rosensgade,1067
2795,Østergade,1011
2868,Vennelyst,917
2820,Åboulevarden,837
784,Guldsmedgade,818
918,Aarhus Havn,733
97,Badstuegade,712
1786,Nørregade,700
1448,Lille Torv,652
2007,Ryesgade,599
1609,Mindegade,584
645,Fredensgade,531
2443,Tangen,489
1205,Kannikegade,485
772,Grønnegade,483
1785,Nørrebrogade,462
2111,Sjællandsgade,429
107740,Risskov,408
1687,Møllestien,407
2869,Hotel Royal,387
1113,Immervad,362
1579,Marselisborg Skov,336
2866,Raadhuset,273
2274,Spanien,266
2678,Vesterport,258
2473,Thunøgade,253
1942,Riis Skov,236
1297,Knudrisgade,229
1369,Kystvejen,213
1753,Ny Munkegade,207
2170,Skovvejen,204
2070,Samsøgade,193
1476,Lollandsgade,191
2405,Sølystgade,189
1846,Paradisgade,184
2136,Skolebakken,181
1748,Norsgade,179
183,Bispetorvet,179
1974,Rosenkrantzgade,165
2626,Valdemarsgade,161
1799,Odensegade,147
127,Banegårdsgade,139
601,Falstersgade,136
917,Havnegade,136
2668,Vesterbrogade,135
981,Hjelmensgade,130
1624,Montanagade,124
243,Brammersgade,122
1758,Nygade,115
42,Amaliegade,111
1582,Marstrandsgade,105
983,Hjortensgade,102
1183,Jægergårdsgade,98
94503,Vestergade 5,95
651,Frederiks Alle,93
372,Christiansgade,93
2357,Strandvejen,87
2873,Sct. Pauls Kirke,85
744,Godthåbsgade,81
937,Heibergsgade (1909-),80
8,Absalonsgade,80
1939,Ridderstræde,79
1128,Istedgade,79
2878,Søndre Kirkegaard,77
384,Dalgas Avenue,75
94496,Vestergade 3,70
1679,Møllegade,70
2584,Trøjborgvej,67
84450,Studsgade 3,66
1783,Nørre Alle,65
2594,Tværgade,61
2396,Søgade,61
1620,Molsgade,60
2528,Tordenskjoldsgade (1901-),59
75547,Skolegade 21,58
406,Dannebrogsgade,56
2139,Skolegyde,54
696,Fåborggade (1906-),54
951,Helgolandsgade,51
75541,Skolegade 15,50
26870,Graven 23,50
97073,Volden 22,49
1405,Langelandsgade,48
1487,Lundingsgade,47
94535,Vestergade 39,47
2876,Sct. Olufs Kirkegaard,47
2169,Skovvangsvej,46
995,Holbergsgade,45
1253,Kirkegårdsvej,45
624,Fiskergyde,45
75557,Skolegade 33,45
649,Fredericiagade,44
55168,Mindegade 6,44
2755,Willemoesgade,43
1197,Kaløgade,43
595,Ewaldsgade,42
94517,Vestergade 21,41
2756,Wilstersgade,40
94509,Vestergade 11,40
75544,Skolegade 19,39
107746,Rosenvænget,38
948,Helgenæsgade,38
68843,Ryesgade 23,37
84481,Studsgade 35,37
26868,Graven 21,37
97069,Volden 18,37
1338,Kriegersvej,36
1576,Marselisborg Alle,36
2879,Svaneapoteket,36
23991,Frederiksgade 18,36
97057,Volden 2,35
75537,Skolegade 7,35
94510,Vestergade 15,35
643,Fredens Torv,35
54794,Mejlgade 21,35
2089,Schleppegrellsgade,35
2872,Katolsk Kirke,35
84455,Studsgade 6,35
2870,Vor Frue Kirke,34
85757,Søndergade 17,34
221,Bogensegade (1918-),34
34,Alleen,33
258,Brendstrupvej,33
85751,Søndergade 11,33
23993,Frederiksgade 22,33
2788,Østbanetorvet,32
83690,Store Torv 14,32
2522,Toldbodgade,32
60872,Nørregade 14,32
75543,Skolegade 17,31
75553,Skolegade 28,31
50502,Lille Torv 6,31
50501,Lille Torv 4,31
5198,Badstuegade 9,31
85765,Søndergade 30,30
24034,Frederiksgade 71,30
94515,Vestergade 19,30
1656,Museumsgade,29
83682,Store Torv 6,29
97061,Volden 9,29
